Rank,Player,Team,Pos,Tier,ADP,Notes
343.50,Jurickson Profar,ATL,OF,,,
343.67,Abner Uribe,MIL,RP,,,
343.67,Joe Musgrove,SD,SP,,,
344.25,Mitch Keller,PIT,SP,,,
344.67,Tink Hence,STL,SP,,,
346.50,Camilo Doval,NYY,RP,,,
347.00,Giancarlo Stanton,NYY,OF,,,
348.17,Xander Bogaerts,SD,SS,,,
348.50,Anthony Santander,TOR,OF,,,
348.67,Jorge Polanco,NYM,2B,,,
348.80,Jacob Lopez,ATH,SP,,,
349.00,Arjun Nimmala,TOR,SS,,,
349.00,Braxton Ashcraft,PIT,"SP,RP",,,
349.00,Braxton Garrett,MIA,SP,,,
349.00,Shane Smith,CHW,SP,,,
349.80,Alex Freeland,LAD,"2B,3B",,,
349.80,Jhostynxon Garcia,PIT,OF,,,
350.33,Trent Grisham,NYY,OF,,,
351.00,Spencer Arrighetti,HOU,SP,,,
351.33,Cam Caminiti,ATL,SP,,,
352.50,Braylon Payne,MIL,OF,,,
353.50,Logan O'Hoppe,LAA,C,,,
354.17,Luis Garcia,WAS,2B,,,
354.50,Trevor Megill,MIL,RP,,,
355.00,Riley O'Brien,STL,RP,,,
355.40,Adolis Garcia,PHI,OF,,,
356.50,Cooper Pratt,MIL,SS,,,
357.33,Austin Wells,NYY,C,,,
357.40,Cole Young,SEA,2B,,,
358.50,Sean Burke,CHW,SP,,,
358.67,Victor Scott,,,,,
360.00,Bo Davidson,SF,OF,,,
360.00,Clarke Schmidt,NYY,SP,,,
360.80,Esmerlyn Valdez,PIT,OF,,,
361.50,Ryan Clifford,NYM,1B,,,
361.67,Jeff Hoffman,TOR,RP,,,
362.00,Tyler Bremner,LAA,SP,,,
362.75,Gage Wood,PHI,SP,,,
362.80,Eduardo Tait,MIN,C,,,
363.50,Luis Morales,ATH,SP,,,
363.50,Tyson Lewis,CIN,SS,,,
364.33,Josh Jung,TEX,3B,,,
365.60,Cristian Javier,HOU,SP,,,
365.67,Will Warren,NYY,SP,,,
366.50,Bailey Ober,MIN,SP,,,
369.00,Joe Boyle,TB,SP,,,
372.67,Cody Ponce,TOR,RP,,,
373.33,Jaxon Wiggins,CHC,SP,,,
373.60,Brandon Pfaadt,ARI,SP,,,
375.20,Christian Scott,NYM,SP,,,
375.50,Kody Clemens,MIN,"1B,2B,OF",,,
375.60,Marcus Semien,NYM,2B,,,
375.67,Blake Mitchell,KC,C,,,
376.00,Robert Stephenson,LAA,RP,,,
377.00,AJ Puk,,,,,
377.00,Chase Petty,CIN,SP,,,
377.25,Rhett Lowder,CIN,SP,,,
377.67,Max Muncy,LAD,3B,,,
378.00,Justin Sterner,ATH,RP,,,
378.40,Bryan Abreu,HOU,RP,,,
378.83,Luis Arraez,SF,"1B,2B",,,
379.50,Carson Whisenhunt,SF,SP,,,
379.50,Luis Perales,WAS,RP,,,
379.50,Mike Burrows,,,,,
379.60,Ha-Seong Kim,ATL,SS,,,
380.00,Matthew Boyd,CHC,SP,,,
381.00,Ben Casparius,LAD,RP,,,
